cod_barrio,barrio,cluster,cluster_nombre,dim_poblacion_extranjera,dim_poblacion_joven,dim_hosteleria,dim_alquiler,dim_envejecimiento,indice_gentrificacion,nivel_gentrificacion
32,032. Adelfas,2,Barrios residenciales estables,0.2336,0.4619,0.1722,0.3138,0.3408,0.3045,N3 - Sin dinámicas gentrificadoras
24,024. Legazpi,2,Barrios residenciales estables,0.1511,0.4028,0.2473,0.3216,0.3997,0.3045,N3 - Sin dinámicas gentrificadoras
97,097. Aravaca,2,Barrios residenciales estables,0.145,0.4813,0.1452,0.3627,0.385,0.3038,N3 - Sin dinámicas gentrificadoras
21,021. Imperial,2,Barrios residenciales estables,0.202,0.4963,0.1553,0.3447,0.3129,0.3022,N3 - Sin dinámicas gentrificadoras
87,087. Mirasierra,2,Barrios residenciales estables,0.0847,0.4115,0.2392,0.3082,0.4546,0.2996,N3 - Sin dinámicas gentrificadoras
22,022. Acacias,2,Barrios residenciales estables,0.2015,0.5262,0.1941,0.358,0.213,0.2986,N3 - Sin dinámicas gentrificadoras
165,165. Apóstol Santiago,2,Barrios residenciales estables,0.288,0.5103,0.1982,0.0562,0.4334,0.2972,N3 - Sin dinámicas gentrificadoras
82,082. Fuentelarreina,2,Barrios residenciales estables,0.0496,0.3827,0.3526,0.2387,0.4499,0.2947,N3 - Sin dinámicas gentrificadoras
164,164. Pinar del Rey,2,Barrios residenciales estables,0.3123,0.4709,0.1601,0.0783,0.4414,0.2926,N3 - Sin dinámicas gentrificadoras
36,036. Niño Jesús,2,Barrios residenciales estables,0.141,0.4128,0.1757,0.3459,0.3716,0.2894,N3 - Sin dinámicas gentrificadoras
166,166. Valdefuentes,2,Barrios residenciales estables,0.1959,0.3221,0.2507,0.0805,0.5757,0.285,N3 - Sin dinámicas gentrificadoras
88,088. El Goloso,2,Barrios residenciales estables,0.092,0.1269,0.2704,0.3142,0.5979,0.2803,N3 - Sin dinámicas gentrificadoras
214,214. Timón,2,Barrios residenciales estables,0.1375,0.3448,0.2311,0.2394,0.4434,0.2792,N3 - Sin dinámicas gentrificadoras
159,159. Costillares,2,Barrios residenciales estables,0.1208,0.439,0.1412,0.2914,0.3339,0.2653,N3 - Sin dinámicas gentrificadoras
182,182. Santa Eugenia,2,Barrios residenciales estables,0.1392,0.4294,0.18,0.3959,0.1797,0.2648,N3 - Sin dinámicas gentrificadoras
162,162. Piovera,2,Barrios residenciales estables,0.2201,0.439,0.1844,0.1081,0.3595,0.2622,N3 - Sin dinámicas gentrificadoras
83,083. Peñagrande,2,Barrios residenciales estables,0.1316,0.3921,0.1718,0.3177,0.2792,0.2585,N3 - Sin dinámicas gentrificadoras
33,033. Estrella,2,Barrios residenciales estables,0.1341,0.3743,0.1632,0.3055,0.2931,0.254,N3 - Sin dinámicas gentrificadoras
211,211. Alameda de Osuna,2,Barrios residenciales estables,0.1409,0.2851,0.2601,0.2396,0.3356,0.2523,N3 - Sin dinámicas gentrificadoras
193,193. Valderrivas,2,Barrios residenciales estables,0.1002,0.0,0.1881,0.425,0.5221,0.2471,N3 - Sin dinámicas gentrificadoras
163,163. Canillas,2,Barrios residenciales estables,0.245,0.4144,0.1796,0.0667,0.3252,0.2462,N3 - Sin dinámicas gentrificadoras
161,161. Palomas,2,Barrios residenciales estables,0.1034,0.3512,0.182,0.0715,0.4115,0.2239,N3 - Sin dinámicas gentrificadoras
85,085. La Paz,2,Barrios residenciales estables,0.0843,0.308,0.2323,0.2788,0.0,0.1807,N3 - Sin dinámicas gentrificadoras
