cod_barrio,barrio,pob_total,pct_extranjera,pct_65mas,pct_pob_2044,pct_extranjera_2044,var_extranjera_1823,var_65mas_1823,var_pob_2044_1823,var_extranjera_2044_1823,pct_hosteleria_2023,pct_servicios_prof,pct_comercio_tradicional,pct_inmobiliario,var_hosteleria_1823,alquiler_2023,var_alquiler_dist_1823,catastral_m2,var_catastral_m2_2023
123,123. San Fermín,23598,21.38,14.74,32.39,11.75,3.89,0.21,-1.71,1.93,25.0,3.65,53.65,1.12,0.99,11.51,25.91,661.93,-0.21
124,124. Almendrales,22834,29.61,15.13,36.66,16.09,3.42,-1.7,-0.36,1.34,21.38,5.38,52.77,0.6,1.47,13.72,25.91,724.81,-0.1
125,125. Moscardó,26579,30.08,18.26,37.09,16.75,4.34,-1.18,0.89,1.82,20.34,3.44,59.31,0.86,3.23,13.88,25.91,700.6,-0.04
126,126. Zofío,14381,29.02,17.47,36.1,16.35,6.75,-0.77,1.63,3.38,17.16,4.44,43.79,0.3,-0.62,14.21,25.91,565.75,-0.0
127,127. Pradolongo,17877,38.46,16.01,37.96,20.52,6.53,-1.5,0.39,2.63,18.65,3.3,54.23,0.72,0.84,14.88,25.91,587.0,-0.02
131,131. Entrevías,35399,19.51,18.4,33.84,10.88,5.62,-1.58,1.27,2.78,22.01,4.25,48.11,1.1,-2.43,11.72,23.35,535.34,-0.06
132,132. San Diego,45104,34.53,12.71,40.32,19.95,8.21,-2.24,1.09,4.37,15.21,3.97,60.98,0.99,-0.93,14.48,23.35,695.97,-0.03
133,133. Palomeras Bajas,40477,17.4,17.82,33.14,9.71,4.77,1.43,1.45,2.35,19.92,4.64,52.25,1.64,0.65,12.89,23.35,575.61,0.37
134,134. Palomeras Sureste,43161,15.17,18.65,33.15,8.48,4.64,0.19,-0.5,2.48,15.71,7.39,45.37,1.06,-1.55,12.19,23.35,616.03,-0.11
135,135. Portazgo,28741,18.11,21.18,33.49,10.13,5.09,-0.85,0.26,2.74,17.68,4.11,57.16,1.74,0.32,12.72,23.35,583.88,-0.08
136,136. Numancia,48720,26.16,18.27,36.89,15.24,6.8,-0.5,0.96,3.71,16.38,3.55,54.25,0.85,-1.35,14.57,23.35,627.54,0.01
141,141. Pavones,8814,11.94,27.42,27.67,6.19,2.59,3.4,-1.52,0.31,25.83,3.31,46.36,1.32,2.6,12.13,23.21,960.72,-0.39
142,142. Horcajo,6339,8.17,11.31,28.51,4.2,4.79,3.26,2.46,2.51,15.05,3.23,48.39,0.0,-0.68,12.13,23.21,994.96,-0.28
143,143. Marroquina,26120,7.65,29.15,27.01,4.03,1.92,2.52,-0.07,0.91,17.54,4.05,54.66,1.48,-0.82,12.1,23.21,1009.23,-0.81
144,144. Media Legua,17323,11.64,28.7,29.53,6.81,3.37,1.27,0.3,1.96,19.21,4.74,45.79,1.32,-0.68,11.88,23.21,1042.91,-0.21
145,145. Fontarrón,17333,17.78,23.56,31.88,9.84,5.33,-3.14,1.16,2.62,16.44,4.79,56.85,1.37,0.79,12.16,23.21,879.09,-0.09
146,146. Vinateros,16885,14.56,27.89,29.07,8.0,4.26,-2.72,0.53,2.21,11.99,1.71,64.73,4.11,-0.8,12.39,23.21,963.35,-1.0
151,151. Ventas,50218,19.99,22.22,35.42,11.84,4.58,-2.0,2.52,2.44,15.02,5.05,52.46,1.48,-0.23,15.37,14.48,1015.6,-0.03
152,152. Pueblo Nuevo,62840,20.72,21.55,34.17,12.13,5.08,-0.54,0.8,2.9,15.66,4.63,54.51,1.33,-0.24,14.71,14.48,1007.37,-0.23
153,153. Quintana,25467,22.5,20.89,36.97,13.69,5.08,-1.7,2.43,2.99,15.85,4.3,54.61,1.88,-0.54,15.22,14.48,1112.63,0.05
154,154. La Concepción,20941,16.43,23.97,32.75,9.66,3.11,-0.25,1.0,1.97,19.76,7.29,47.29,1.18,0.41,15.05,14.48,1091.46,-0.23
155,155. San Pascual,18327,10.6,26.99,29.91,5.96,2.83,1.02,0.28,1.67,19.96,5.43,48.84,0.97,-0.31,14.97,14.48,1201.68,-0.44
156,156. San Juan Bautista,12445,11.02,22.71,28.79,5.31,2.3,1.47,-0.94,0.97,21.72,7.24,46.92,1.34,-0.68,15.08,14.48,1340.71,0.02
157,157. Colina,6569,12.12,22.93,29.43,6.47,2.55,0.17,-1.5,1.05,16.29,5.68,46.97,1.89,-0.44,15.97,14.48,1352.91,0.18
158,158. Atalaya,1622,11.34,23.0,28.36,5.18,1.24,0.46,1.19,0.61,20.0,6.67,46.67,0.0,-5.0,15.03,14.48,1367.57,0.23
159,159. Costillares,21913,5.95,23.52,27.53,2.93,0.96,2.13,-0.76,0.5,21.57,3.92,53.78,1.4,-3.15,13.88,14.48,1418.21,-0.05
161,161. Palomas,6922,10.31,16.56,25.27,3.79,1.39,2.0,-2.47,0.15,30.28,5.5,38.53,0.92,-4.91,13.76,8.6,1288.01,-0.12
162,162. Piovera,15041,17.21,16.2,28.26,6.0,3.37,2.88,-0.99,1.12,26.35,5.42,40.07,2.53,-3.06,15.22,8.6,1507.37,0.05
163,163. Canillas,39786,11.14,27.75,28.52,5.93,2.65,1.6,-1.75,1.42,19.19,6.67,48.94,2.03,-0.16,13.57,8.6,1180.59,0.05
164,164. Pinar del Rey,52031,13.52,26.36,30.07,7.49,3.82,-0.02,-0.68,1.93,16.99,3.52,56.66,1.87,-0.18,14.03,8.6,1114.32,-0.19
165,165. Apóstol Santiago,15435,11.64,21.78,30.26,6.21,3.81,0.83,0.35,1.87,22.73,5.56,47.98,1.52,-0.77,13.15,8.6,1089.67,0.04
166,166. Valdefuentes,69175,11.49,7.88,32.69,5.53,2.71,0.77,-5.61,0.92,27.7,5.41,40.9,0.79,-0.29,14.12,8.6,1184.41,-0.11
171,"171. Villaverde Alto, Casco Histórico de Villaverde",47817,24.6,16.07,34.24,13.4,6.33,-1.34,0.57,3.33,9.64,4.0,46.24,0.49,-1.48,12.65,26.67,692.52,0.14
172,172. San Cristóbal,17270,37.56,10.68,39.1,20.94,7.35,-3.06,1.75,3.52,29.07,4.85,53.3,1.76,2.78,12.15,26.67,409.01,0.01
173,173. Butarque,21316,15.59,9.09,32.78,8.28,2.26,0.51,-6.52,0.91,22.97,2.83,45.94,1.77,0.39,11.76,26.67,698.66,-0.75
174,174. Los Rosales,37807,22.26,17.17,32.35,12.2,4.36,0.42,-0.02,2.01,18.96,3.97,57.5,1.36,-0.85,12.68,26.67,712.62,-0.08
175,175. Ángeles,34826,21.87,23.1,33.87,12.58,7.39,-4.09,3.75,4.39,18.1,3.3,62.5,1.87,0.23,11.5,26.67,765.07,0.76
181,181. Casco Histórico de Vallecas,40417,19.99,16.69,33.86,10.7,4.94,0.12,-0.92,2.48,10.39,2.72,49.82,0.97,-0.21,11.93,18.29,759.32,0.02
182,182. Santa Eugenia,23876,11.46,24.79,30.12,5.55,1.61,4.37,-1.84,0.26,21.11,2.09,50.35,2.32,-0.98,12.44,18.29,658.86,-0.13
183,183. Ensanche de Vallecas,53208,14.31,5.46,40.02,8.34,5.71,1.41,-9.81,3.25,24.2,2.74,56.47,1.22,1.88,12.95,18.29,845.62,-0.31
191,191. Casco Histórico de Vicálvaro,35518,22.42,20.04,32.72,11.84,3.57,-2.0,-0.72,1.67,17.44,3.15,48.77,1.48,-1.23,12.53,20.08,740.83,0.52
192,192. Valdebernardo,17471,9.65,14.46,30.1,5.45,3.94,4.29,3.36,2.28,21.17,2.55,59.85,0.36,-1.64,12.95,20.08,816.12,-0.25
193,193. Valderrivas,17760,4.44,7.05,21.8,2.3,1.18,1.75,-11.07,0.37,21.95,2.44,45.12,2.44,-0.94,10.97,20.08,751.62,-0.96
194,194. El Cañaveral,13054,12.39,2.72,51.0,7.06,4.14,-1.09,-2.65,2.09,28.74,4.6,40.23,3.45,28.74,11.55,20.08,720.35,2.71
201,201. Simancas,28764,21.71,15.58,35.1,12.55,6.45,-0.83,0.79,3.76,23.51,6.95,40.06,1.67,-0.09,13.87,15.24,944.14,0.05
202,202. Hellín,9555,19.57,20.06,33.95,11.16,9.19,-5.13,3.44,5.24,20.78,3.9,59.74,1.3,3.9,12.87,15.24,757.65,0.22
203,203. Amposta,9126,23.77,17.08,36.22,14.08,9.61,-3.28,3.57,5.45,18.72,2.96,65.02,0.99,-0.06,12.87,15.24,725.03,-0.0
204,204. Arcos,25354,13.52,16.83,30.89,7.6,4.82,-1.38,0.68,2.65,24.48,1.79,53.73,1.79,1.28,13.37,15.24,833.04,0.1
205,205. Rosas,30751,6.63,16.37,26.13,3.33,1.81,3.26,1.35,0.8,31.44,4.44,45.38,0.86,9.81,12.19,15.24,955.22,-0.21
206,206. Rejas,17399,19.79,11.83,34.15,11.09,4.14,0.6,-5.75,1.31,20.68,4.43,43.28,0.74,2.8,12.14,15.24,911.59,-0.2
207,207. Canillejas,29067,19.46,23.25,32.12,10.54,5.16,0.09,-0.47,2.49,18.02,3.15,54.73,1.69,-1.22,12.53,15.24,810.15,0.11
208,208. El Salvador,11202,9.66,23.12,28.66,4.94,2.47,2.86,1.15,1.13,29.67,8.61,32.06,1.91,2.12,13.11,15.24,858.45,0.04
211,211. Alameda de Osuna,19685,7.14,26.58,24.68,3.35,1.77,1.62,-4.11,0.66,25.0,3.16,48.56,1.15,1.37,12.52,14.0,1114.02,-0.02
212,212. Aeropuerto,1902,23.87,14.88,34.49,12.83,4.53,-0.56,-2.41,1.12,28.08,0.0,41.47,0.0,0.86,12.7,14.0,961.63,16.66
213,213. Casco Histórico de Barajas,7384,19.83,19.93,36.48,10.81,2.55,1.39,-1.81,0.37,27.3,2.76,52.15,3.07,0.05,13.25,14.0,1085.97,-0.26
214,214. Timón,12049,10.76,12.28,32.74,5.32,1.47,2.17,-5.0,0.28,27.07,5.24,36.24,0.87,-1.01,12.51,14.0,946.97,-1.9
215,215. Corralejos,7626,7.23,10.65,24.68,3.47,0.75,0.64,-3.67,0.39,46.89,5.26,20.1,0.48,5.35,12.53,14.0,1190.9,-0.19
